iter	MAE
0	572.2876597
1	571.8800132
2	571.3874751
3	570.9236676
4	570.516745
5	570.0021057
6	569.5152763
7	563.1831248
8	562.7019247
9	562.1787345
10	561.6160823
11	561.0463224
12	560.5598788
13	559.8944727
14	559.299343
15	558.7998152
16	558.0470029
17	557.3775474
18	556.7433696
19	556.51192
20	555.7829956
21	555.0470666
22	554.2681729
23	553.5386366
24	552.7083009
25	551.8569665
26	550.9908233
27	549.8906528
28	548.9070736
29	547.740072
30	546.5875662
31	545.2354944
32	544.1599867
33	542.509698
34	541.3417719
35	539.8093644
36	537.9376867
37	536.8257244
38	535.7887644
39	534.2904031
40	532.3498754
41	530.566065
42	529.0077923
43	527.7135162
44	526.2468484
45	526.2126391
46	524.4445351
47	522.848198
48	521.6551606
49	519.9799317
50	519.9602024
51	519.9361636
52	518.0513634
53	516.2935209
54	514.8711895
55	513.0294646
56	511.2309142
57	511.1796941
58	509.4770084
59	507.8586143
60	507.8244075
61	506.2977794
62	504.8210655
63	504.7914571
64	504.7567586
65	502.9387254
66	502.907813
67	501.0704641
68	501.0316637
69	499.01852
70	496.1468433
71	493.7299486
72	493.6974062
73	491.0464557
74	486.8776134
75	486.0368289
76	486.0202057
77	484.7197178
78	484.7059573
79	484.6747405
80	483.4059564
81	483.3922598
82	483.3740379
83	479.6922072
84	478.1151757
85	478.106044
86	475.9996561
87	473.5382839
88	470.3058715
89	470.2917329
90	470.2582063
91	470.2556747
92	470.2358414
93	470.1922509
94	470.1898901
95	467.6632861
96	467.6460191
97	464.5380037
98	464.5356912
99	459.7591647
100	455.5124068
101	455.5104274
102	455.5078307
103	455.5058883
104	455.5036708
105	455.5018865
106	455.5002558
107	455.4984484
108	455.4965996
109	455.4951213
110	455.4926638
111	455.4912243
112	450.9452473
113	450.9434648
114	450.9420929
115	450.9405532
116	450.9390632
117	450.930755
118	450.9292556
119	450.9278972
120	450.9133285
121	450.9118253
122	450.9102818
123	450.908788
124	450.9075098
125	450.9057653
126	450.9040461
127	450.9026412
128	450.9007344
129	450.899379
130	450.898065
131	450.8965164
132	450.8951885
133	449.1813755
134	445.034323
135	445.0328006
136	445.0317496
137	445.0303569
138	441.2394681
139	441.2380352
140	437.7834796
141	437.7814984
142	437.7802867
143	437.7793734
144	437.7783013
145	437.7771718
146	432.7607576
147	432.7596774
148	432.7573914
149	432.7532736
150	432.7525691
151	432.7517361
152	428.7310863
153	428.7304718
154	428.7293225
155	428.7170922
156	428.7162218
157	428.707767
158	428.7071134
159	428.6924868
160	424.4916524
161	420.3646819
162	420.3640331
163	416.0919238
164	416.0911176
165	416.0903591
166	416.0891889
167	416.0882738
168	416.0874724
169	416.0867697
170	416.0861716
171	412.2089049
172	408.0413724
173	403.8076009
174	400.1566114
175	396.7076152
176	393.3283563
177	389.3855453
178	385.8829459
179	382.9156078
180	380.2922097
181	376.8394955
182	373.6136244
183	370.8544741
184	367.824808
185	367.8154804
186	365.3423022
187	362.5243579
188	359.82925
189	357.2063347
190	354.6976494
191	352.2833915
192	349.9723419
193	346.9716498
194	346.9548301
195	346.9393552
196	344.0590722
197	344.0437088
198	342.0498119
199	339.3821822
200	337.2620628
201	335.2659587
202	332.8586524
203	331.3285797
204	331.3108348
205	331.3015835
206	329.8414421
207	327.6535949
208	327.6321856
209	326.3374931
210	326.3287801
211	326.2696361
212	324.0565826
213	322.0112452
214	321.9956424
215	320.2015775
216	318.3498465
217	318.3202176
218	318.3185238
219	317.5819516
220	315.3142984
221	315.3112388
222	313.6737913
223	313.6732798
224	313.672811
225	313.6657762
226	313.6573354
227	313.6522666
228	313.6509597
229	313.6424315
230	313.6419804
231	313.6413336
232	312.8567338
233	312.8564203
234	312.8554014
235	312.8478233
236	312.8283611
237	312.7712266
238	312.761635
239	312.7604759
240	312.7530861
241	312.7429345
242	312.7176314
243	311.210069
244	311.2096303
245	308.6293244
246	308.6046983
247	308.5978565
248	307.2178927
249	307.2031578
250	304.2543091
251	303.0701134
252	303.0487456
253	301.4272862
254	301.4269497
255	298.5172239
256	298.513166
