iter	Passed	Remaining
0	17	17007
1	32	16034
2	45	15046
3	57	14439
4	70	14128
5	83	13836
6	95	13533
7	107	13270
8	119	13124
9	130	12896
10	141	12767
11	154	12696
12	165	12591
13	176	12448
14	187	12285
15	198	12214
16	209	12140
17	222	12118
18	233	12030
19	244	11984
20	256	11964
21	267	11912
22	278	11832
23	289	11772
24	300	11735
25	311	11687
26	323	11648
27	334	11619
28	345	11577
29	356	11539
30	368	11503
31	378	11452
32	389	11403
33	400	11365
34	410	11321
35	421	11288
36	433	11275
37	446	11312
38	459	11330
39	471	11326
40	483	11308
41	495	11299
42	506	11280
43	518	11263
44	529	11230
45	542	11244
46	552	11210
47	563	11181
48	574	11157
49	585	11131
50	596	11105
51	607	11078
52	619	11063
53	629	11035
54	640	11011
55	652	11003
56	664	10992
57	676	10981
58	687	10959
59	698	10942
60	710	10937
61	721	10914
62	732	10887
63	744	10881
64	756	10886
65	768	10879
66	779	10858
67	791	10844
68	802	10823
69	813	10810
70	824	10793
71	836	10781
72	848	10772
73	859	10758
74	870	10741
75	883	10742
76	896	10741
77	907	10723
78	918	10711
79	929	10687
80	940	10669
81	951	10656
82	963	10646
83	976	10652
84	989	10649
85	1001	10642
86	1015	10653
87	1027	10644
88	1040	10645
89	1051	10635
90	1064	10630
91	1077	10632
92	1088	10616
93	1100	10611
94	1113	10606
95	1125	10598
96	1136	10581
97	1148	10573
98	1161	10570
99	1173	10557
100	1184	10542
101	1198	10547
102	1210	10538
103	1222	10529
104	1234	10518
105	1246	10515
106	1258	10505
107	1271	10503
108	1283	10491
109	1295	10483
110	1307	10471
111	1318	10455
112	1329	10437
113	1341	10427
114	1354	10420
115	1366	10411
116	1377	10395
117	1388	10376
118	1399	10360
119	1410	10341
120	1420	10320
121	1432	10311
122	1446	10310
123	1457	10293
124	1469	10284
125	1480	10269
126	1492	10260
127	1505	10254
128	1517	10243
129	1529	10233
130	1541	10224
131	1553	10217
132	1566	10210
133	1577	10192
134	1590	10190
135	1602	10180
136	1614	10171
137	1627	10162
138	1638	10148
139	1662	10211
140	1680	10236
141	1699	10268
142	1716	10288
143	1737	10327
144	1756	10358
145	1775	10382
146	1790	10391
147	1807	10406
148	1823	10415
149	1835	10400
150	1847	10390
151	1860	10378
152	1871	10359
153	1882	10342
154	1893	10325
155	1904	10301
156	1914	10281
157	1926	10265
158	1938	10255
159	1954	10258
160	1967	10252
161	1979	10241
162	1991	10227
163	2003	10211
164	2015	10198
165	2027	10186
166	2039	10172
167	2051	10159
168	2062	10143
169	2074	10127
170	2086	10113
171	2097	10099
172	2108	10077
173	2118	10057
174	2130	10041
175	2142	10031
176	2153	10014
177	2165	9999
178	2176	9983
179	2186	9961
180	2197	9942
181	2208	9926
182	2218	9905
183	2228	9884
184	2239	9866
185	2250	9850
186	2262	9837
187	2274	9825
188	2285	9808
189	2297	9795
190	2307	9775
191	2318	9755
192	2329	9741
193	2339	9720
194	2350	9703
195	2362	9690
196	2374	9679
197	2387	9671
198	2399	9657
199	2410	9643
200	2422	9631
201	2434	9616
202	2445	9600
203	2455	9583
204	2466	9565
205	2478	9552
206	2488	9532
207	2498	9513
208	2509	9496
209	2520	9481
210	2531	9466
211	2542	9451
212	2553	9433
213	2564	9419
214	2575	9403
215	2588	9394
216	2599	9381
217	2611	9367
218	2623	9354
219	2634	9339
220	2645	9326
221	2657	9312
222	2668	9298
223	2680	9286
224	2691	9272
225	2704	9261
226	2716	9250
227	2728	9239
228	2740	9226
229	2752	9214
230	2764	9201
231	2775	9187
232	2787	9174
233	2799	9162
234	2810	9149
235	2822	9135
236	2833	9122
237	2844	9107
238	2856	9096
239	2868	9084
240	2880	9071
241	2891	9058
242	2903	9046
243	2916	9036
244	2928	9023
245	2939	9011
246	2952	9000
247	2964	8989
248	2975	8975
249	2987	8962
250	2999	8951
251	3011	8939
252	3022	8924
253	3032	8907
254	3044	8895
255	3055	8881
256	3067	8869
257	3079	8857
258	3091	8845
259	3104	8835
260	3114	8819
261	3125	8805
262	3137	8791
263	3149	8779
264	3159	8763
265	3172	8755
266	3185	8743
267	3197	8732
268	3208	8719
269	3220	8708
270	3232	8696
271	3243	8681
272	3256	8670
273	3267	8658
274	3279	8647
275	3292	8636
276	3305	8627
277	3316	8614
278	3329	8604
279	3341	8592
280	3353	8580
281	3365	8568
282	3377	8556
283	3388	8542
284	3400	8531
285	3412	8519
286	3425	8508
287	3437	8498
288	3450	8488
289	3461	8475
290	3473	8462
291	3485	8450
292	3497	8438
293	3508	8425
294	3520	8414
295	3532	8402
296	3544	8389
297	3555	8375
298	3567	8364
299	3579	8351
300	3590	8338
301	3602	8326
302	3615	8315
303	3627	8304
304	3638	8292
305	3651	8281
306	3663	8270
307	3675	8258
308	3688	8248
309	3699	8234
310	3711	8223
311	3722	8209
312	3734	8195
313	3744	8181
314	3756	8169
315	3767	8155
316	3779	8142
317	3791	8131
318	3803	8118
319	3814	8106
320	3826	8093
321	3838	8082
322	3850	8071
323	3863	8060
324	3875	8048
325	3887	8037
326	3899	8024
327	3912	8015
328	3923	8002
329	3937	7993
330	3949	7981
331	3961	7970
332	3974	7960
333	3986	7948
334	3999	7939
335	4012	7928
336	4024	7917
337	4035	7904
338	4047	7891
339	4060	7881
340	4072	7870
341	4084	7858
342	4096	7845
343	4107	7832
344	4119	7821
345	4131	7808
346	4143	7797
347	4156	7786
348	4167	7774
349	4179	7762
350	4191	7749
351	4203	7738
352	4216	7727
353	4227	7714
354	4239	7701
355	4251	7691
356	4264	7680
357	4276	7668
358	4289	7658
359	4299	7644
360	4311	7631
361	4322	7618
362	4334	7606
363	4346	7593
364	4357	7581
365	4368	7567
366	4380	7555
367	4392	7543
368	4404	7531
369	4417	7521
370	4432	7514
371	4444	7503
372	4456	7491
373	4468	7478
374	4479	7466
375	4492	7454
376	4504	7444
377	4516	7431
378	4527	7418
379	4538	7404
380	4550	7393
381	4561	7380
382	4573	7367
383	4586	7356
384	4598	7345
385	4610	7333
386	4621	7319
387	4632	7307
388	4645	7296
389	4656	7283
